FirstName,LastName,FullName,Department
James,Carter,James Carter,Sales
Emily,Brooks,Emily Brooks,Sales
Michael,Hayes,Michael Hayes,Sales
Sarah,Mitchell,Sarah Mitchell,Sales
David,Turner,David Turner,Sales
Jessica,Collins,Jessica Collins,Sales
Ryan,Bennett,Ryan Bennett,Sales
Amanda,Foster,Amanda Foster,Sales
Kevin,Simmons,Kevin Simmons,Sales
Laura,Griffin,Laura Griffin,Sales
Daniel,Murray,Daniel Murray,Marketing
Rachel,Hughes,Rachel Hughes,Marketing
Chris,Patterson,Chris Patterson,Marketing
Megan,Russell,Megan Russell,Marketing
Brandon,Jenkins,Brandon Jenkins,Marketing
Stephanie,Perry,Stephanie Perry,Marketing
Tyler,Coleman,Tyler Coleman,Marketing
Ashley,Wood,Ashley Wood,Marketing
Nathan,Barnes,Nathan Barnes,Marketing
Brittany,Ross,Brittany Ross,Marketing
Andrew,Watson,Andrew Watson,Research
Samantha,Cox,Samantha Cox,Research
Joshua,Howard,Joshua Howard,Research
Rebecca,Ward,Rebecca Ward,Research
Matthew,Torres,Matthew Torres,Research
Jennifer,Peterson,Jennifer Peterson,Research
Eric,Gray,Eric Gray,Research
Nicole,Ramirez,Nicole Ramirez,Research
Adam,James,Adam James,Research
Heather,Watson,Heather Watson,Research
Robert,Fisher,Robert Fisher,Accounting
Michelle,Stone,Michelle Stone,Accounting
Steven,Dixon,Steven Dixon,Accounting
Kimberly,Hunt,Kimberly Hunt,Accounting
Brian,Knight,Brian Knight,Accounting
Melissa,Hawkins,Melissa Hawkins,Accounting
Justin,Webb,Justin Webb,Accounting
Amy,Fuller,Amy Fuller,Accounting
Gregory,Lynch,Gregory Lynch,Accounting
Tiffany,Horton,Tiffany Horton,Accounting
Richard,Spencer,Richard Spencer,Executives
Patricia,Hamilton,Patricia Hamilton,Executives
Charles,George,Charles George,Executives
Linda,Bradley,Linda Bradley,Executives
Mark,Cunningham,Mark Cunningham,Executives
Barbara,Lane,Barbara Lane,Executives
Donald,Jordan,Donald Jordan,Executives
Susan,Freeman,Susan Freeman,Executives
Paul,Garrett,Paul Garrett,Executives
Sandra,Hicks,Sandra Hicks,Executives
Jason,Fleming,Jason Fleming,IT
Karen,Norris,Karen Norris,IT
Jeffrey,Bowman,Jeffrey Bowman,IT
Sharon,Walton,Sharon Walton,IT
Gary,Wheeler,Gary Wheeler,IT
Lisa,Tran,Lisa Tran,IT
Scott,Ruiz,Scott Ruiz,IT
Mary,Sutton,Mary Sutton,IT
Jose,Burke,Jose Burke,IT
Dorothy,Mullins,Dorothy Mullins,IT
Jonathan,Larson,Jonathan Larson,Developers
Angela,Parsons,Angela Parsons,Developers
Patrick,Reyes,Patrick Reyes,Developers
Deborah,Ellis,Deborah Ellis,Developers
Frank,Hoffman,Frank Hoffman,Developers
Carolyn,Ford,Carolyn Ford,Developers
Raymond,Harrison,Raymond Harrison,Developers
Janet,Saunders,Janet Saunders,Developers
Jack,Bishop,Jack Bishop,Developers
Maria,Castro,Maria Castro,Developers
Dennis,Porter,Dennis Porter,Engineering
Ruth,Lawson,Ruth Lawson,Engineering
Jerry,Arnold,Jerry Arnold,Engineering
Helen,Daniels,Helen Daniels,Engineering
Walter,Thornton,Walter Thornton,Engineering
Frances,Kelley,Frances Kelley,Engineering
Peter,Chandler,Peter Chandler,Engineering
Virginia,Palmer,Virginia Palmer,Engineering
Harold,Manning,Harold Manning,Engineering
Diane,Warren,Diane Warren,Engineering
Henry,Griffin,Henry Griffin,Maintenance
Alice,Barker,Alice Barker,Maintenance
Carl,Jacobs,Carl Jacobs,Maintenance
Jean,Morrison,Jean Morrison,Maintenance
Arthur,Snyder,Arthur Snyder,Maintenance
Joyce,Reid,Joyce Reid,Maintenance
Lawrence,Cole,Lawrence Cole,Maintenance
Evelyn,Pierce,Evelyn Pierce,Maintenance
Roger,Austin,Roger Austin,Maintenance
Judy,Hansen,Judy Hansen,Maintenance
Willie,Gordon,Willie Gordon,Contractors
Cheryl,Webb,Cheryl Webb,Contractors
Ralph,Dunn,Ralph Dunn,Contractors
Kathleen,Stone,Kathleen Stone,Contractors
Roy,Watkins,Roy Watkins,Contractors
Martha,Hanson,Martha Hanson,Contractors
Eugene,Brewer,Eugene Brewer,Contractors
Mildred,Cross,Mildred Cross,Contractors
Howard,Patel,Howard Patel,Contractors
Gloria,Cummings,Gloria Cummings,Contractors
Victor,Santiago,Victor Santiago,AI Team
Christina,Fleming,Christina Fleming,AI Team
Craig,Holt,Craig Holt,AI Team
Theresa,Vega,Theresa Vega,AI Team
Sean,Padilla,Sean Padilla,AI Team
Hannah,Benson,Hannah Benson,AI Team
Alan,Chavez,Alan Chavez,AI Team
Kathryn,Bowden,Kathryn Bowden,AI Team
Christian,Ramsey,Christian Ramsey,AI Team
Denise,Malone,Denise Malone,AI Team
